Age of respondent,Race of respondent,Can people be trusted
25,Black,Cannot trust
32,Black,Cannot trust
32,Other,Cannot trust
28,White,Not applicable
46,White,Not applicable
67,White,Cannot trust
44,White,Not applicable
51,White,Can trust
78,White,Cannot trust
58,White,Can trust
66,White,Not applicable
52,White,Can trust
53,White,Not applicable
32,White,Not applicable
31,White,Cannot trust
81,White,Cannot trust
56,White,Not applicable
23,White,Can trust
67,White,Not applicable
54,White,Can trust
41,White,Not applicable
73,White,Cannot trust
75,White,Cannot trust
64,White,Not applicable
42,White,Not applicable
35,White,Can trust
40,White,Not applicable
77,White,Not applicable
74,White,Cannot trust
57,White,Can trust
33,White,Not applicable
62,White,Cannot trust
42,White,Not applicable
30,White,Not applicable
32,White,Not applicable
24,White,Not applicable
60,White,Cannot trust
37,White,Cannot trust
69,White,Not applicable
43,White,Not applicable
39,White,Cannot trust
33,White,Cannot trust
60,White,Can trust
27,White,Cannot trust
37,Other,Not applicable
84,White,Can trust
67,White,Cannot trust
89 or older,White,Can trust
78,White,Not applicable
55,White,Cannot trust
57,White,Cannot trust
88,White,Cannot trust
39,White,Not applicable
41,White,Not applicable
57,White,Not applicable
46,White,Not applicable
37,White,Can trust
84,White,Not applicable
37,White,Can trust
44,White,Cannot trust
45,White,Cannot trust
29,Other,Not applicable
26,White,Cannot trust
65,White,Not applicable
65,White,Can trust
53,White,Cannot trust
52,White,Can trust
56,White,Can trust
67,White,Depends
34,White,Cannot trust
61,Black,Not applicable
25,Other,Cannot trust
58,White,Not applicable
71,White,Not applicable
44,Black,Not applicable
84,White,Not applicable
50,Other,Cannot trust
65,Black,Cannot trust
52,White,Cannot trust
59,Black,Cannot trust
20,White,Cannot trust
53,White,Cannot trust
30,White,Cannot trust
19,White,Not applicable
79,White,Not applicable
80,White,Cannot trust
54,White,Cannot trust
53,White,Can trust
42,White,Cannot trust
28,Other,Cannot trust
37,White,Not applicable
39,Other,Not applicable
51,White,Cannot trust
30,White,Cannot trust
59,Black,Cannot trust
55,White,Can trust
78,White,Cannot trust
25,White,Cannot trust
32,White,Can trust
19,White,Not applicable
60,White,Not applicable
77,White,Can trust
24,White,Not applicable
86,White,Not applicable
61,White,Can trust
43,Other,Not applicable
58,White,Not applicable
26,Black,Not applicable
56,White,Depends
33,White,Cannot trust
38,White,Not applicable
61,Black,Cannot trust
23,White,Cannot trust
67,White,Cannot trust
22,White,Cannot trust
56,White,Cannot trust
86,Other,Cannot trust
29,Other,Can trust
59,White,Not applicable
67,White,Can trust
62,White,Can trust
35,Other,Depends
37,Other,Not applicable
67,Black,Not applicable
24,White,Not applicable
41,White,Not applicable
68,White,Cannot trust
57,White,Cannot trust
41,White,Cannot trust
55,White,Cannot trust
43,White,Can trust
27,White,Cannot trust
70,White,Cannot trust
88,White,Can trust
65,White,Not applicable
24,White,Cannot trust
58,White,Cannot trust
79,White,Not applicable
74,White,Can trust
27,White,Not applicable
47,White,Not applicable
33,White,Not applicable
23,Other,Can trust
29,White,Not applicable
26,White,Not applicable
45,White,Cannot trust
70,White,Not applicable
53,White,Can trust
53,White,Cannot trust
49,White,Not applicable
26,White,Can trust
36,White,Cannot trust
34,White,Depends
30,Black,Depends
47,White,Cannot trust
29,White,Can trust
28,White,Cannot trust
36,White,Not applicable
48,Black,Not applicable
40,White,Cannot trust
58,White,Cannot trust
31,White,Not applicable
44,White,Depends
65,White,Can trust
31,White,Can trust
79,White,Cannot trust
55,White,Not applicable
49,White,Depends
58,White,Cannot trust
41,White,Can trust
70,White,Not applicable
56,White,Can trust
62,White,Cannot trust
62,White,Not applicable
30,White,Cannot trust
60,White,Not applicable
39,Other,Depends
62,White,Cannot trust
48,White,Cannot trust
65,White,Cannot trust
53,White,Not applicable
59,White,Not applicable
41,White,Not applicable
22,White,Not applicable
43,White,Not applicable
32,Black,Not applicable
23,White,Cannot trust
31,White,Can trust
43,White,Cannot trust
26,White,Not applicable
38,White,Not applicable
65,White,Cannot trust
85,White,Can trust
42,Other,Cannot trust
44,White,Cannot trust
54,White,Can trust
64,White,Can trust
64,White,Cannot trust
50,White,Can trust
40,White,Cannot trust
24,White,Cannot trust
23,White,Not applicable
27,White,Cannot trust
54,White,Not applicable
49,White,Can trust
49,White,Not applicable
40,White,Not applicable
56,White,Can trust
47,White,Cannot trust
69,White,Not applicable
54,White,Can trust
64,White,Can trust
51,White,Not applicable
44,White,Can trust
58,White,Depends
45,White,Not applicable
72,White,Cannot trust
23,Other,Not applicable
57,Black,Cannot trust
70,Black,Not applicable
31,Black,Cannot trust
56,Black,Not applicable
87,White,Cannot trust
59,White,Cannot trust
52,Black,Cannot trust
81,Black,Cannot trust
84,White,Not applicable
26,Black,Cannot trust
74,White,Cannot trust
66,White,Cannot trust
40,Black,Cannot trust
34,Other,Depends
65,Black,Not applicable
38,White,Cannot trust
72,Other,Cannot trust
48,White,Can trust
56,White,Cannot trust
26,Black,Cannot trust
83,White,Not applicable
55,White,Cannot trust
67,White,Can trust
53,White,Cannot trust
22,White,Not applicable
41,White,Not applicable
54,White,Cannot trust
69,White,Can trust
52,White,Can trust
82,White,Can trust
71,White,Not applicable
53,White,Cannot trust
26,White,Can trust
56,White,Can trust
56,White,Not applicable
34,White,Cannot trust
37,White,Cannot trust
43,Other,Cannot trust
69,White,Not applicable
40,White,Not applicable
25,White,Cannot trust
51,Other,Cannot trust
39,Other,Can trust
30,Black,Not applicable
42,White,Cannot trust
38,Other,Cannot trust
28,Black,Cannot trust
57,White,Can trust
54,White,Not applicable
53,Other,Cannot trust
35,White,Cannot trust
61,White,Not applicable
59,White,Not applicable
26,White,Cannot trust
50,White,Depends
32,White,Not applicable
42,White,Can trust
24,Black,Not applicable
44,White,Can trust
43,Other,Cannot trust
51,White,Can trust
47,Other,Can trust
47,Other,Cannot trust
34,Other,Not applicable
24,White,Cannot trust
41,Other,Depends
54,White,Can trust
58,White,Cannot trust
36,Black,Cannot trust
56,Black,Cannot trust
41,Black,Can trust
72,Black,Not applicable
62,Black,Can trust
41,White,Can trust
23,Black,Not applicable
26,Other,Cannot trust
30,Other,Not applicable
44,Other,Not applicable
56,White,Cannot trust
64,Black,Can trust
41,White,Not applicable
75,White,Can trust
23,White,Cannot trust
84,White,Cannot trust
59,Black,Cannot trust
59,White,Cannot trust
20,Black,Cannot trust
27,White,Cannot trust
24,Black,Cannot trust
37,Black,Cannot trust
54,White,Can trust
79,White,Can trust
78,Black,Cannot trust
27,White,Cannot trust
41,White,Cannot trust
25,Black,Cannot trust
35,White,Cannot trust
53,White,Not applicable
38,White,Cannot trust
35,White,Cannot trust
56,Other,Cannot trust
46,Other,Can trust
68,White,Cannot trust
29,White,Cannot trust
61,Other,Cannot trust
61,White,Not applicable
78,Black,Can trust
19,Other,Cannot trust
30,White,Not applicable
89 or older,White,Not applicable
21,Black,Cannot trust
45,White,Can trust
58,White,Cannot trust
50,White,Can trust
43,White,Cannot trust
31,White,Cannot trust
42,Black,Not applicable
25,Other,Cannot trust
58,White,Cannot trust
78,White,Not applicable
46,White,Cannot trust
81,White,Not applicable
85,White,Not applicable
20,White,Not applicable
39,White,Not applicable
87,White,Not applicable
61,Other,Cannot trust
39,White,Can trust
84,White,Can trust
26,Other,Can trust
65,White,Not applicable
85,White,Cannot trust
31,Other,Cannot trust
58,White,Cannot trust
53,White,Cannot trust
41,White,Cannot trust
23,White,Cannot trust
64,White,Not applicable
45,White,Not applicable
38,White,Cannot trust
42,White,Can trust
70,White,Can trust
28,Other,Cannot trust
50,White,Cannot trust
32,White,Can trust
66,White,Can trust
43,White,Depends
65,White,Can trust
49,White,Can trust
23,Black,Not applicable
19,White,Cannot trust
39,Other,Cannot trust
33,Other,Not applicable
23,White,Cannot trust
46,Black,Cannot trust
58,Black,Cannot trust
36,Black,Cannot trust
41,White,Cannot trust
70,White,Depends
35,White,Depends
72,White,Not applicable
38,Black,Cannot trust
60,White,Depends
55,White,Not applicable
42,White,Cannot trust
41,White,Not applicable
45,White,Can trust
24,White,Can trust
66,White,Cannot trust
36,White,Not applicable
60,White,Can trust
50,Other,Can trust
66,White,Not applicable
32,White,Not applicable
29,Black,Not applicable
71,White,Can trust
31,White,Cannot trust
72,White,Can trust
23,White,Not applicable
74,White,Not applicable
24,White,Not applicable
53,White,Not applicable
69,White,Can trust
31,White,Not applicable
47,White,Can trust
54,Other,Depends
21,White,Cannot trust
66,White,Depends
65,Other,Not applicable
68,White,Can trust
37,Black,Cannot trust
60,Other,Not applicable
68,Black,Not applicable
32,Black,Cannot trust
56,Other,Can trust
45,Black,Cannot trust
21,Other,Cannot trust
60,White,Can trust
43,White,Can trust
22,Other,Depends
41,White,Cannot trust
29,Other,Not applicable
22,White,Not applicable
42,White,Can trust
29,White,Not applicable
44,White,Can trust
61,White,Cannot trust
33,White,Cannot trust
70,White,Not applicable
64,White,Can trust
38,Other,Cannot trust
49,Other,Cannot trust
49,White,Don't know
36,Other,Cannot trust
74,White,Cannot trust
77,White,Cannot trust
23,Black,Cannot trust
70,Black,Can trust
64,White,Not applicable
58,White,Cannot trust
52,White,Cannot trust
63,White,Can trust
63,White,Can trust
31,White,Not applicable
88,White,Can trust
60,Black,Can trust
34,White,Can trust
77,White,Not applicable
49,White,Cannot trust
40,White,Cannot trust
35,White,Not applicable
32,Black,Cannot trust
70,White,Cannot trust
44,Other,Cannot trust
52,Black,Can trust
25,Black,Cannot trust
89 or older,White,Can trust
18,Black,Not applicable
25,Other,Not applicable
65,White,Not applicable
44,White,Not applicable
78,White,Cannot trust
65,White,Not applicable
41,White,Can trust
65,White,Cannot trust
31,Black,Not applicable
65,White,Cannot trust
45,White,Not applicable
19,White,Cannot trust
55,Black,Cannot trust
60,Other,Not applicable
55,White,Not applicable
34,Other,Can trust
57,White,Depends
69,White,Can trust
74,White,Can trust
65,White,Cannot trust
54,White,Can trust
63,White,Can trust
66,White,Cannot trust
71,Other,Can trust
58,Other,Not applicable
34,White,Can trust
74,White,Not applicable
31,Other,Cannot trust
37,Black,Not applicable
50,White,Cannot trust
23,Other,Cannot trust
33,Other,Not applicable
80,White,Can trust
30,White,Cannot trust
69,White,Can trust
76,White,Not applicable
76,White,Cannot trust
50,White,Not applicable
77,Other,Not applicable
43,White,Can trust
68,White,Cannot trust
65,Black,Not applicable
53,Black,Not applicable
45,Black,Cannot trust
33,Other,Cannot trust
54,White,Not applicable
40,White,Can trust
74,Black,Cannot trust
18,White,Not applicable
58,White,Cannot trust
66,White,Can trust
30,Black,Cannot trust
61,White,Not applicable
81,Black,Cannot trust
57,White,Not applicable
47,White,Cannot trust
36,White,Not applicable
44,White,Can trust
67,White,Cannot trust
40,Other,Can trust
69,White,Cannot trust
61,White,Cannot trust
62,White,Not applicable
35,White,Depends
63,Black,Cannot trust
26,Black,Cannot trust
76,White,Not applicable
31,White,Not applicable
51,Other,Cannot trust
54,Black,Cannot trust
36,White,Not applicable
47,White,Not applicable
32,Other,Cannot trust
46,Other,Cannot trust
65,White,Can trust
61,White,Can trust
37,White,Cannot trust
26,White,Cannot trust
70,Black,Cannot trust
57,White,Not applicable
76,White,Depends
50,Other,Cannot trust
21,Black,Not applicable
59,Black,Not applicable
32,Black,Cannot trust
51,White,Can trust
26,White,Cannot trust
45,White,Can trust
58,Black,Can trust
62,White,Cannot trust
29,White,Cannot trust
32,Black,Not applicable
45,White,Not applicable
32,White,Can trust
79,Black,Cannot trust
54,Black,Not applicable
89 or older,White,Can trust
63,Black,Not applicable
43,White,Cannot trust
31,White,Cannot trust
40,White,Cannot trust
74,White,Cannot trust
48,White,Cannot trust
89 or older,White,Not applicable
24,Black,Not applicable
33,White,Cannot trust
35,Other,Cannot trust
30,White,Cannot trust
56,Other,Cannot trust
60,White,Can trust
58,Black,Can trust
49,Black,Not applicable
59,Black,Can trust
30,Black,Not applicable
73,Black,Not applicable
56,Black,Cannot trust
20,White,Not applicable
39,White,Cannot trust
86,White,Can trust
25,White,Cannot trust
63,White,Not applicable
69,White,Cannot trust
25,Black,Not applicable
55,White,Not applicable
25,White,Cannot trust
31,White,Not applicable
62,White,Cannot trust
25,White,Cannot trust
23,Black,Not applicable
20,Other,Not applicable
40,White,Cannot trust
73,White,Cannot trust
54,White,Can trust
50,White,Can trust
76,White,Cannot trust
29,White,Cannot trust
56,White,Cannot trust
29,White,Not applicable
58,White,Cannot trust
51,Other,Can trust
58,White,Can trust
40,White,Cannot trust
34,White,Can trust
58,White,Cannot trust
23,White,Cannot trust
68,White,Cannot trust
37,White,Can trust
52,Black,Cannot trust
41,White,Can trust
43,Black,Not applicable
34,White,Cannot trust
26,White,Can trust
27,White,Can trust
44,Other,Cannot trust
38,White,Cannot trust
42,White,Cannot trust
79,White,Can trust
39,White,Can trust
53,White,Cannot trust
62,White,Not applicable
23,Other,Cannot trust
42,Other,Cannot trust
31,White,Cannot trust
36,White,Cannot trust
40,White,Cannot trust
25,White,Cannot trust
60,White,Can trust
78,White,Depends
42,White,Cannot trust
18,White,Not applicable
77,White,Cannot trust
56,White,Not applicable
68,White,Cannot trust
39,White,Cannot trust
45,White,Cannot trust
53,White,Can trust
35,White,Not applicable
29,Black,Cannot trust
44,White,Cannot trust
40,Black,Cannot trust
50,White,Not applicable
73,White,Can trust
41,White,Not applicable
39,White,Cannot trust
59,White,Not applicable
47,White,Not applicable
63,White,Not applicable
57,White,Cannot trust
87,White,Cannot trust
54,White,Can trust
81,White,Not applicable
41,White,Can trust
54,White,Cannot trust
57,White,Cannot trust
26,White,Not applicable
72,Black,Not applicable
68,Black,Depends
46,Black,Cannot trust
47,Black,Not applicable
62,White,Not applicable
67,White,Cannot trust
52,White,Cannot trust
78,White,Cannot trust
44,White,Can trust
27,Other,Not applicable
65,Black,Cannot trust
33,White,Can trust
43,White,Cannot trust
