Age.of.respondent,Region.of.interview,Can.people.be.trusted
64,Mountain,Can trust
43,Mountain,Cannot trust
25,Mountain,Cannot trust
60,Mountain,Can trust
29,Mountain,Can trust
59,Mountain,Cannot trust
27,Mountain,Cannot trust
64,Mountain,Not applicable
83,Mountain,Cannot trust
62,Mountain,Not applicable
42,Mountain,Cannot trust
77,Mountain,Cannot trust
55,E. nor. central,Can trust
75,E. nor. central,Cannot trust
75,E. nor. central,Cannot trust
53,E. nor. central,Can trust
56,E. nor. central,Cannot trust
23,E. nor. central,Not applicable
22,E. nor. central,Cannot trust
72,E. nor. central,Cannot trust
29,E. nor. central,Not applicable
25,E. nor. central,Cannot trust
40,W. nor. central,Cannot trust
41,W. nor. central,Cannot trust
73,W. nor. central,Can trust
41,W. nor. central,Not applicable
39,W. nor. central,Cannot trust
59,W. nor. central,Not applicable
34,W. nor. central,Cannot trust
47,W. nor. central,Not applicable
60,W. nor. central,Can trust
48,W. nor. central,Can trust
60,W. nor. central,Not applicable
58,W. nor. central,Not applicable
57,W. nor. central,Cannot trust
55,W. nor. central,Cannot trust
54,South atlantic,Can trust
67,South atlantic,Can trust
81,South atlantic,Not applicable
78,South atlantic,Can trust
47,South atlantic,Cannot trust
41,South atlantic,Can trust
30,South atlantic,Cannot trust
68,South atlantic,Depends
59,South atlantic,Not applicable
77,South atlantic,Cannot trust
42,South atlantic,Not applicable
34,South atlantic,Not applicable
78,South atlantic,Not applicable
29,South atlantic,Cannot trust
35,South atlantic,Cannot trust
65,South atlantic,Cannot trust
21,South atlantic,Cannot trust
59,South atlantic,Cannot trust
21,South atlantic,Cannot trust
52,South atlantic,Not applicable
76,South atlantic,Cannot trust
58,South atlantic,Can trust
89 or older,South atlantic,Not applicable
60,South atlantic,Not applicable
45,Pacific,Cannot trust
21,Pacific,Cannot trust
32,Pacific,Cannot trust
38,Pacific,Not applicable
64,Pacific,Cannot trust
26,Pacific,Cannot trust
19,Pacific,Not applicable
47,Pacific,Can trust
39,Pacific,Not applicable
39,Middle atlantic,Not applicable
65,Middle atlantic,Cannot trust
80,Middle atlantic,Not applicable
70,Middle atlantic,Don't know
43,Middle atlantic,Not applicable
71,Middle atlantic,Cannot trust
51,Middle atlantic,Cannot trust
89 or older,Middle atlantic,Not applicable
55,South atlantic,Can trust
22,South atlantic,Cannot trust
20,South atlantic,Cannot trust
76,South atlantic,Cannot trust
48,South atlantic,Cannot trust
37,South atlantic,Not applicable
45,South atlantic,Cannot trust
25,South atlantic,Cannot trust
49,E. sou. central,Cannot trust
26,E. sou. central,Not applicable
20,E. sou. central,Cannot trust
42,E. sou. central,Cannot trust
50,E. nor. central,Not applicable
29,E. nor. central,Cannot trust
30,E. nor. central,Not applicable
27,E. nor. central,Not applicable
55,E. nor. central,Cannot trust
31,E. nor. central,Can trust
41,W. sou. central,Cannot trust
39,W. sou. central,Not applicable
25,W. sou. central,Cannot trust
73,W. sou. central,Cannot trust
26,W. sou. central,Cannot trust
70,W. sou. central,Cannot trust
22,E. nor. central,Cannot trust
56,E. nor. central,Cannot trust
44,E. nor. central,Not applicable
53,E. nor. central,Can trust
57,E. nor. central,Cannot trust
55,E. nor. central,Cannot trust
61,E. nor. central,Cannot trust
53,E. nor. central,Cannot trust
62,E. nor. central,Not applicable
45,E. nor. central,Cannot trust
25,Mountain,Not applicable
21,Mountain,Not applicable
51,Mountain,Can trust
66,Mountain,Cannot trust
40,Mountain,Not applicable
78,Mountain,Not applicable
63,Mountain,Cannot trust
73,Mountain,Cannot trust
55,Mountain,Can trust
71,E. nor. central,Not applicable
81,E. nor. central,Not applicable
31,E. nor. central,Can trust
33,E. nor. central,Can trust
58,E. nor. central,Can trust
62,E. nor. central,Cannot trust
60,Mountain,Cannot trust
76,Mountain,Can trust
41,Mountain,Cannot trust
36,Mountain,Not applicable
72,E. sou. central,Cannot trust
61,E. sou. central,Cannot trust
33,E. sou. central,Can trust
34,E. sou. central,Cannot trust
37,E. sou. central,Cannot trust
44,E. sou. central,Cannot trust
49,E. sou. central,Cannot trust
55,E. sou. central,Not applicable
35,E. sou. central,Cannot trust
58,New england,Can trust
19,New england,Cannot trust
53,New england,Not applicable
57,New england,Can trust
39,New england,Cannot trust
52,New england,Can trust
55,New england,Cannot trust
45,New england,Can trust
58,New england,Can trust
61,New england,Can trust
60,New england,Cannot trust
56,New england,Can trust
42,New england,Not applicable
64,Middle atlantic,Not applicable
63,Middle atlantic,Cannot trust
60,Middle atlantic,Cannot trust
55,Middle atlantic,Cannot trust
46,Middle atlantic,Cannot trust
39,Middle atlantic,Depends
29,Middle atlantic,Cannot trust
33,Middle atlantic,Not applicable
58,Middle atlantic,Can trust
50,Middle atlantic,Don't know
35,Middle atlantic,Cannot trust
73,Middle atlantic,Not applicable
27,Middle atlantic,Can trust
78,Middle atlantic,Not applicable
56,Middle atlantic,Cannot trust
67,Middle atlantic,Cannot trust
23,Middle atlantic,Cannot trust
31,Middle atlantic,Cannot trust
55,Middle atlantic,Can trust
32,Middle atlantic,Can trust
30,Middle atlantic,Cannot trust
79,Middle atlantic,Cannot trust
59,Middle atlantic,Not applicable
66,Middle atlantic,Cannot trust
19,Middle atlantic,Not applicable
50,Middle atlantic,Not applicable
37,Middle atlantic,Not applicable
19,Middle atlantic,Can trust
60,Middle atlantic,Can trust
51,South atlantic,Cannot trust
73,South atlantic,Cannot trust
37,South atlantic,Depends
55,South atlantic,Cannot trust
41,South atlantic,Cannot trust
45,South atlantic,Cannot trust
57,South atlantic,Not applicable
52,South atlantic,Cannot trust
27,South atlantic,Cannot trust
68,South atlantic,Cannot trust
36,South atlantic,Not applicable
67,South atlantic,Cannot trust
20,South atlantic,Cannot trust
28,South atlantic,Cannot trust
83,South atlantic,Not applicable
22,South atlantic,Not applicable
55,South atlantic,Not applicable
57,South atlantic,Not applicable
63,South atlantic,Not applicable
59,South atlantic,Cannot trust
21,South atlantic,Cannot trust
52,South atlantic,Cannot trust
37,South atlantic,Not applicable
39,South atlantic,Not applicable
86,South atlantic,Not applicable
77,South atlantic,Can trust
58,South atlantic,Not applicable
19,South atlantic,Not applicable
38,South atlantic,Cannot trust
25,South atlantic,Cannot trust
57,South atlantic,Cannot trust
37,South atlantic,Not applicable
52,South atlantic,Can trust
30,South atlantic,Cannot trust
56,South atlantic,Not applicable
61,South atlantic,Can trust
36,South atlantic,Cannot trust
78,South atlantic,Cannot trust
28,South atlantic,Not applicable
52,South atlantic,Cannot trust
59,South atlantic,Cannot trust
20,South atlantic,Cannot trust
81,South atlantic,Not applicable
70,South atlantic,Cannot trust
74,South atlantic,Cannot trust
65,South atlantic,Cannot trust
25,South atlantic,Not applicable
50,South atlantic,Cannot trust
73,South atlantic,Not applicable
37,South atlantic,Cannot trust
44,South atlantic,Not applicable
41,South atlantic,Can trust
72,South atlantic,Cannot trust
46,South atlantic,Not applicable
60,South atlantic,Not applicable
41,South atlantic,Not applicable
32,South atlantic,Cannot trust
72,South atlantic,Can trust
52,South atlantic,Can trust
25,South atlantic,Cannot trust
26,South atlantic,Cannot trust
59,South atlantic,Can trust
65,South atlantic,Not applicable
53,South atlantic,Cannot trust
79,South atlantic,Cannot trust
43,South atlantic,Cannot trust
50,E. sou. central,Not applicable
29,E. sou. central,Cannot trust
48,E. sou. central,Not applicable
74,E. sou. central,Can trust
52,E. sou. central,Not applicable
88,E. sou. central,Cannot trust
49,E. sou. central,Can trust
51,E. sou. central,Not applicable
47,E. sou. central,Cannot trust
64,E. sou. central,Can trust
20,E. sou. central,Not applicable
59,E. sou. central,Not applicable
43,E. sou. central,Not applicable
22,E. sou. central,Not applicable
39,E. sou. central,Not applicable
67,E. sou. central,Not applicable
47,E. sou. central,Not applicable
68,E. sou. central,Not applicable
22,E. sou. central,Cannot trust
67,E. sou. central,Cannot trust
40,E. sou. central,Not applicable
62,E. sou. central,Not applicable
30,E. sou. central,Not applicable
32,E. sou. central,Cannot trust
43,E. sou. central,Can trust
42,E. sou. central,Not applicable
76,E. sou. central,Can trust
41,E. sou. central,Cannot trust
74,E. sou. central,Not applicable
44,E. sou. central,Not applicable
86,E. sou. central,Depends
41,E. nor. central,Can trust
34,E. nor. central,Cannot trust
25,South atlantic,Not applicable
71,South atlantic,Can trust
31,South atlantic,Cannot trust
56,South atlantic,Not applicable
51,South atlantic,Not applicable
41,E. nor. central,Not applicable
33,E. nor. central,Not applicable
63,E. nor. central,Not applicable
44,E. nor. central,Cannot trust
73,E. nor. central,Cannot trust
75,E. nor. central,Cannot trust
67,E. nor. central,Can trust
35,E. nor. central,Can trust
50,E. nor. central,Not applicable
77,E. nor. central,Not applicable
41,E. nor. central,Not applicable
88,E. nor. central,Not applicable
33,E. nor. central,Not applicable
64,E. nor. central,Cannot trust
32,E. nor. central,Not applicable
56,E. nor. central,Cannot trust
24,E. nor. central,Not applicable
24,E. nor. central,Cannot trust
37,E. nor. central,Cannot trust
33,E. nor. central,Cannot trust
53,E. nor. central,Can trust
31,E. nor. central,Not applicable
67,E. nor. central,Not applicable
47,E. nor. central,Not applicable
78,E. nor. central,Not applicable
79,E. nor. central,Can trust
41,E. nor. central,Cannot trust
39,E. nor. central,Not applicable
41,E. nor. central,Not applicable
57,E. nor. central,Not applicable
41,E. nor. central,Can trust
37,E. nor. central,Can trust
30,E. nor. central,Cannot trust
56,E. nor. central,Not applicable
32,E. nor. central,Can trust
50,E. nor. central,Not applicable
54,E. nor. central,Cannot trust
43,E. nor. central,Cannot trust
51,E. nor. central,Not applicable
71,E. nor. central,Not applicable
84,E. nor. central,Not applicable
